benchmark,version,size,repetition_count,avg_energy_j,median_energy_j,sd_energy_j,avg_exec_time_sec,avg_cpu_usage,avg_memory_usage
approx,baseline,large,10,0.46733,0.4386,0.09594120942883025,29.8,20.327,2789824387.657
approx,baseline,small,10,0.40502,0.37544999999999995,0.10948153370419243,25.2,20.459,2794580085.028
approx,opt,large,10,0.46127,0.437,0.08822093540903114,30.2,20.242,2791769336.686
approx,opt,small,10,0.3873,0.36505,0.06972477640297203,25.3,20.414,2794831345.373
audio_filters,baseline,large,10,1.6015,1.5108,0.37628856834438473,117.6,20.347,2799270462.441
audio_filters,baseline,small,10,1.58816,1.4635500000000001,0.35782878028464965,116.5,20.281,2796034218.232
audio_filters,g1,large,10,1.61641,1.4901499999999999,0.39789357161599553,118.6,20.275,2806313739.038
audio_filters,g1,small,10,1.58007,1.4661,0.3574539288107241,116,19.866,2801192166.366
audio_filters,g3,large,10,1.58166,1.4540000000000002,0.3995433259777134,115.4,20.388,2803952415.288
audio_filters,g3,small,10,1.60672,1.4473500000000001,0.4732898191265991,117,20.415,2805946965.8059998
audio_filters,g6,large,10,1.61676,1.4872,0.3930694091944126,118.7,20.454,2794002580.702
audio_filters,g6,small,10,1.55085,1.4577499999999999,0.31324040554607047,114,20.541,2802133577.045
audio_filters,g7,large,10,1.60744,1.4732500000000002,0.3942345021261669,117.6,20.179000000000002,2799077387.508
audio_filters,g7,small,10,1.5526499999999999,1.4537499999999999,0.30952415540273714,114.5,20.011,2795809114.217
audio_filters,g8,large,10,1.5820699999999999,1.46135,0.4035193401670964,115.1,20.37,2797555180.064
audio_filters,g8,small,10,1.58151,1.46535,0.36036189048109835,115.6,20.361,2808017502.194
audio_filters,g9,large,10,1.59627,1.4541,0.42863948604859076,116.6,20.544,2809772629.41
audio_filters,g9,small,10,1.58745,1.4518,0.4065743809221411,115.8,20.298000000000002,2799688835.232
audio_filters,opt,large,10,1.45229,1.45675,0.1674992301806522,112.5,20.262,2796320427.207
audio_filters,opt,small,10,1.62158,1.5191,0.38589338999838346,119,20.57,2816362986.753
basic_string,baseline,large,10,10.72528,10.026150000000001,3.7742490204601555,816.3,24.975,2781792219.419
basic_string,baseline,small,10,0.74481,0.6254,0.24335125253655693,50.2,20.251,2790066845.349
basic_string,g1,large,10,8.90742,9.0641,1.175867922288327,695.7,24.588,2781947001.462
basic_string,g1,small,10,0.7752,0.7194499999999999,0.2585375193059779,52.6,20.3,2776790185.619
basic_string,g2,large,10,10.24451,9.7218,2.382557066799357,791.5,24.939,2794350836.342
basic_string,g2,small,10,0.74248,0.7139,0.18217442069499099,50.9,20.176,2774838361.4639997
basic_string,g7,large,10,9.09316,9.1203,1.654450298907633,701,24.666,2784212277.843
basic_string,g7,small,10,0.70621,0.7203999999999999,0.1368067286356925,48.3,20.177,2801489791.955
basic_string,g8,large,10,5.33673,5.18055,1.2530972810068126,409.1,23.353,2825221489.603
basic_string,g8,small,10,0.69536,0.6181000000000001,0.19844831512960187,47,20.067,2793029080.361
basic_string,opt,large,10,4.33041,4.23295,0.8402873482724031,330.6,22.634,2800141329.507
basic_string,opt,small,10,0.67551,0.5690999999999999,0.2662480107385259,44,20.416,2812822295.272
diophantine_equation,baseline,large,10,0.58265,0.55505,0.14688331158515666,38.6,20.395,2815299543.041
diophantine_equation,baseline,small,10,0.38903,0.3692,0.05917830026472728,24.6,20.229,2785238981.485
diophantine_equation,g1,large,10,0.58978,0.54785,0.15106117818802933,39.3,20.502,2789170744.889
diophantine_equation,g1,small,10,0.41301,0.37870000000000004,0.10761065054682602,25.9,20.434,2792827501.714
diophantine_equation,g6,large,10,0.60245,0.5602,0.1387609635308144,40.3,19.95,2785184217.316
diophantine_equation,g6,small,10,0.41153,0.3798,0.10548181570509887,26.2,20.013,2803712694.857
diophantine_equation,g9,large,10,0.58966,0.558,0.10649002248515535,39.3,20.348,2787305635.84
diophantine_equation,g9,small,10,0.41751,0.37570000000000003,0.1087205433924774,26.5,20.275,2778298836.115
diophantine_equation,opt,large,10,0.58428,0.55445,0.10362936949640397,39.8,20.306,2807351132.16
diophantine_equation,opt,small,10,0.40044,0.37915,0.05518194551763386,26.3,20.29,2797780787.2
fib,baseline,large,10,2.03084,1.89255,0.39506103944693016,151.4,20.087,2804117362.991
fib,baseline,small,10,0.40216,0.38075000000000003,0.0685335473407813,26.2,20.305,2815802426.514
fib,opt,large,10,0.38543,0.3689,0.05698169394151463,24.9,20.128999999999998,2774274291.81
fib,opt,small,10,0.38697,0.37334999999999996,0.05848251495580159,25.2,20.151,2787001782.858
geometry,baseline,large,10,7.40513,7.08675,1.128733403274071,580.6,24.519,2822766700.587
geometry,baseline,small,10,0.64362,0.6174999999999999,0.08079391891307992,45.3,20.29,2801200362.795
geometry,g1,large,10,7.38294,7.08475,1.0544773915705035,579.7,24.369,2835474975.829
geometry,g1,small,10,0.64803,0.6213500000000001,0.08616868534063483,45.5,20.326,2800684396.917
geometry,g6,large,10,1.69962,1.6468500000000001,0.18414630536010693,129.8,20.241,2803588218.369
geometry,g6,small,10,0.6441399999999999,0.61835,0.10038313492702736,44.7,20.423000000000002,2817145319.796
geometry,g7,large,10,7.38974,7.0891,0.9532901239625032,582.5,24.374,2836176996.084
geometry,g7,small,10,0.6602,0.6209,0.11184662116785946,46.3,20.374,2801459255.854
geometry,g9,large,10,1.2675,1.2010999999999998,0.20900026049957185,94,20.187,2802945337.583
geometry,g9,small,10,0.64451,0.6173500000000001,0.08643465675809033,45.4,20.31,2816727989.527
geometry,opt,large,10,1.34844,1.2920500000000001,0.14925528615243228,101.7,19.996000000000002,2797817467.8389997
geometry,opt,small,10,0.64851,0.61995,0.09670903037232645,44.9,20.591,2786458254.326
inline,baseline,large,10,0.50399,0.48919999999999997,0.06326279317260661,34.2,20.273,2792178688
inline,baseline,small,10,0.39772,0.3771,0.05717172572366711,25.9,20.554,2791191142.4
inline,opt,large,10,0.45501,0.44405,0.04180623159290971,30.4,20.147,2822721726.171
inline,opt,small,10,0.39852,0.37845,0.06814626100446664,25.7,20.352,2804870582.856
jacobi_iteration_method,baseline,large,10,1.53111,1.4811999999999999,0.17422076320959376,117.5,20.328,2819113143.934
jacobi_iteration_method,baseline,small,10,1.55192,1.48325,0.19006101242612705,119.5,20.239,2816159393.7469997
jacobi_iteration_method,g1,large,10,1.52026,1.45655,0.1872510269961452,116.6,20.302,2806010864.697
jacobi_iteration_method,g1,small,10,1.55182,1.49035,0.2509379241521253,118.1,20.21,2813898162.439
jacobi_iteration_method,g3,large,10,1.5675000000000001,1.5119500000000001,0.15967304093052156,121.7,20.427,2803959424.815
jacobi_iteration_method,g3,small,10,1.5538,1.5095,0.17796799962040621,119.6,20.344,2810244975.571
jacobi_iteration_method,g5,large,10,1.54153,1.48625,0.20147525378787565,118.7,20.467,2794980799.508
jacobi_iteration_method,g5,small,10,1.53136,1.4910999999999999,0.14748954915895268,117.8,20.304,2791432514.467
jacobi_iteration_method,g6,large,10,1.5543799999999999,1.5048,0.2100590223934427,119.9,20.128,2808330519.158
jacobi_iteration_method,g6,small,10,1.51135,1.45475,0.1831612176926837,116,20.245,2816598194.631
jacobi_iteration_method,opt,large,10,1.51048,1.4546000000000001,0.17177098319176806,116.2,20.278,2804016382.258
jacobi_iteration_method,opt,small,10,1.52679,1.4864000000000002,0.16829747109739282,117.6,20.262,2807659140.859
logic,baseline,large,10,31.24664,30.451700000000002,2.36484772034997,2504.8,26.186,2799716180.717
logic,baseline,small,10,0.38592,0.3728,0.04698741675526901,25.4,19.909,2787035311.543
logic,opt,large,10,31.47674,30.63975,3.2374526052987327,2517.9,26.677,2807198733.334
logic,opt,small,10,0.38706,0.37535,0.04512661693009519,25.3,20.536,2791529852.343
lu_decomposition,baseline,large,10,1.52662,1.4878,0.12379167805452655,118.4,20.271,2778178030.348
lu_decomposition,baseline,small,10,1.54237,1.5116,0.13325335142752193,119.6,20.323999999999998,2802320128.601
lu_decomposition,g5,large,10,1.53633,1.47675,0.15851424086042096,119.5,20.179,2799803934.23
lu_decomposition,g5,small,10,1.51806,1.4834,0.1351491867036819,117.6,20.448,2807027869.4769998
lu_decomposition,g6,large,10,1.51502,1.4614,0.13086914414364026,117.4,20.36,2796505410.928
lu_decomposition,g6,small,10,1.52351,1.5077500000000001,0.11150626738738346,118.6,20.428,2803308615.665
lu_decomposition,g7,large,10,1.50665,1.45405,0.1398900461076484,117.1,20.394,2810948034.291
lu_decomposition,g7,small,10,1.49659,1.4593,0.13980999368190147,115.9,20.529,2811269203.679
lu_decomposition,g9,large,10,1.52798,1.4895,0.1439452426754316,118.4,20.088,2819365223.975
lu_decomposition,g9,small,10,1.5413700000000001,1.50805,0.12128846285703442,120.1,20.315,2799398676.953
lu_decomposition,opt,large,10,1.49755,1.45685,0.13918050829368636,116,20.165,2796400308.527
lu_decomposition,opt,small,10,1.5134400000000001,1.46095,0.1355131334348569,117.5,19.986,2807305140.959
md5,baseline,large,10,222.41311,267.0902,103.59684401767856,17845.2,26.332,2779077393.548
md5,baseline,small,10,0.70134,0.68425,0.05480290341051486,50.5,20.475,2797169555.395
md5,g1,large,10,224.01814000000002,265.34685,91.47629875169488,18049,27.63,2771267788.968
md5,g1,small,10,0.69156,0.68085,0.05041737354876349,50.6,22.042,2797732150.064
md5,g3,large,10,2.66466,2.6505,0.21756413715908646,212.7,24.345,2821872838.183
md5,g3,small,10,0.5603,0.5549,0.03899307630849354,39.6,23.904,2779962421.7860003
md5,g6,large,10,226.35588,256.32125,79.31208672836975,18342.6,26.78,2777634507.097
md5,g6,small,10,0.70968,0.6897500000000001,0.03916511486287537,52.5,22.911,2793977527.794
md5,g7,large,10,2.47151,2.4200999999999997,0.14069691183533486,198,21.987,2806217965.736
md5,g7,small,10,0.53694,0.535,0.03749412398407693,37.5,21.923,2789489413.69
md5,g9,large,10,190.1981,262.94780000000003,108.53913436157487,15443.8,26.393,2787802606.841
md5,g9,small,10,0.60741,0.6146,0.03936212082136272,43.9,22.03,2809609188.072
md5,opt,large,10,2.12981,2.1184000000000003,0.08831878433644032,170.6,23.733,2827565984.9630003
md5,opt,small,10,0.52988,0.53955,0.03100017204253334,38.1,23.917,2795609188.124
merge_sort,baseline,large,10,45.02568,44.362899999999996,1.6453725703047046,3691.8,28.035,2813817459.183
merge_sort,baseline,small,10,1.17103,1.1981000000000002,0.056977423404167504,91.2,23.056,2812015195.621
merge_sort,g1,large,10,44.91378,44.62535,1.0899428851498998,3685.9,26.261,2818820064.41
merge_sort,g1,small,10,1.12575,1.1143,0.043540485629915644,87.1,20.341,2793840641.916
merge_sort,g2,large,10,44.6427,44.4474,1.070670800116553,3667.5,26.252,2817337608.709
merge_sort,g2,small,10,1.12341,1.1101,0.037739500379428546,86.9,20.320999999999998,2812159569.92
merge_sort,g3,large,10,7.50174,7.5072,0.292309866789033,616,24.542,2779895771.258
merge_sort,g3,small,10,1.06537,1.05725,0.04648204073737631,81.9,20.407,2783344920.816
merge_sort,opt,large,10,92.67348,92.54625,3.0671046179309465,7628.3,26.391000000000002,2884992632.591
merge_sort,opt,small,10,1.07732,1.0891000000000002,0.02917124916382184,82.4,20.313,2769222298.815
sort,baseline,large,10,0.41674,0.41915,0.024896059482933795,29.3,20.147,2799572889.6
